edge_id,from,to,label,status,magnitude,magnitude_unit,magnitude_n,magnitude_sd,essentiality_score,essentiality_justification,plausibility_score,plausibility_justification,evidence_score,evidence_justification,quantification_score,quantification_justification,notes
E001,N001,N003,Coastal benthic sediment to Coastal mussels,putative,,,,,,,,,,,,,
E002,N001,N004,Coastal benthic sediment to Coastal cod livers,putative,,,,,,,,,,,,,
E003,N001,N005,Coastal benthic sediment to Coastal cod muscle,putative,,,,,,,,,,,,,
E004,N002,N003,Coastal water to Coastal mussels,empirical,,,,,,,,,,,,,
E005,N002,N004,Coastal water to Coastal cod livers,putative,,,,,,,,,,,,,
E006,N002,N005,Coastal water to Coastal cod muscle,putative,,,,,,,,,,,,,
E007,N006,N001,Natural copper occurrence to Coastal benthic sediment,putative,,,,,,,,,,,,,
E008,N006,N002,Natural copper occurrence to Coastal water,putative,,,,,,,,,,,,,
E012,N007,N001,Aquaculture copper application to Coastal benthic sediment,putative,,,,,,,,,,,,,
E013,N007,N002,Aquaculture copper application to Coastal water,putative,,,,,,,,,,,,,
